,v001,v002,response,v5,v9,v12,v29,v32,v33,v34,v36,v37,v105,v106,v109,v112,v113,v116,v117,v119,v120,v122,v123,v173,v174,v176,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v171.1,v172.1
42,12,55,0,2.0,,,10.0,1.0,1.0,6.0,,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,12,62,0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,36,0,1.0,,1.0,8.0,,2.0,1.0,1.0,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,14,36,0,,,,3.0,,,3.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,14,21,1,2.0,2.0,,4.0,,3.0,,,1.0,2.0,,4.0,1.0,,1.0,1.0,,9.0,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,14,23,0,2.0,,1.0,7.0,,,4.0,2.0,,2.0,,,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,14,41,1,,,,1.0,,,,,1.0,1.0,,14.0,1.0,,2.0,,,1.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,14,22,1,1.0,,,3.0,1.0,,,,2.0,,,,,,,4.0,9.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,15,41,0,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,15,22,1,1.0,,1.0,10.0,,4.0,5.0,1.0,,,,1.0,,,1.0,,13.0,13.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,16,35,0,2.0,1.0,1.0,21.0,5.0,5.0,5.0,1.0,5.0,,1.0,1.0,,1.0,1.0,,3.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,16,20,0,1.0,,,7.0,5.0,,,,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,16,59,0,1.0,,1.0,2.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,17,25,0,2.0,1.0,1.0,3.0,,2.0,,1.0,,,3.0,4.0,,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,17,30,0,1.0,,1.0,38.0,3.0,1.0,28.0,1.0,5.0,7.0,8.0,14.0,5.0,4.0,3.0,1.0,7.0,6.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,18,46,1,,,,,,,,,,12.0,7.0,12.0,1.0,1.0,1.0,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,18,62,1,2.0,1.0,,3.0,,1.0,1.0,,1.0,1.0,3.0,9.0,1.0,1.0,1.0,,,9.0,2.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,19,27,0,,,,3.0,1.0,1.0,,,1.0,6.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,19,35,0,1.0,,,13.0,3.0,,7.0,,3.0,,2.0,,,2.0,,2.0,18.0,5.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,23,34,0,1.0,1.0,,6.0,1.0,4.0,1.0,,,,,,,,,,3.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,24,0,,,,3.0,1.0,,2.0,,,2.0,1.0,5.0,2.0,1.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6,37,0,4.0,1.0,3.0,7.0,,4.0,,3.0,,,,,,,,,,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8,31,0,2.0,,,14.0,2.0,,8.0,,4.0,2.0,5.0,5.0,1.0,1.0,1.0,,2.0,2.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,9,34,0,2.0,1.0,1.0,4.0,,2.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9,30,0,,,,,,,,,,14.0,6.0,17.0,3.0,4.0,9.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,10,56,0,1.0,1.0,,23.0,,1.0,20.0,,2.0,6.0,,2.0,2.0,,1.0,,10.0,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,12,41,0,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,12,27,0,2.0,1.0,,5.0,1.0,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,14,48,0,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15,36,0,1.0,,,6.0,2.0,,4.0,,,,2.0,,,1.0,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,16,29,0,,,,2.0,,1.0,,,1.0,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,19,30,0,2.0,,2.0,27.0,6.0,1.0,14.0,2.0,4.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,11,27,0,2.0,,1.0,12.0,5.0,1.0,1.0,1.0,4.0,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,13,56,0,1.0,,,25.0,2.0,1.0,18.0,,3.0,5.0,,5.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,13,23,0,5.0,1.0,3.0,24.0,5.0,8.0,1.0,3.0,7.0,,,,,,,,8.0,14.0,4.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,18,39,0,,,,36.0,1.0,1.0,28.0,1.0,5.0,,,3.0,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,21,31,1,1.0,,,2.0,1.0,,1.0,,,12.0,6.0,8.0,2.0,2.0,1.0,5.0,2.0,2.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,23,20,0,1.0,,,9.0,1.0,3.0,,2.0,3.0,,,,,,,,8.0,8.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,7,25,0,1.0,,,22.0,4.0,,14.0,,4.0,,,,,,,,4.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,10,25,0,2.0,,1.0,9.0,,,6.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,15,50,0,,,,,,,,,,,,,,,,,3.0,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,18,26,0,,,,1.0,1.0,,,,,1.0,,2.0,1.0,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,19,46,1,1.0,,1.0,4.0,,2.0,,1.0,1.0,12.0,8.0,10.0,2.0,1.0,3.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,11,38,0,2.0,1.0,1.0,5.0,,3.0,,1.0,1.0,,,2.0,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,11,29,1,1.0,1.0,,1.0,,1.0,,,,40.0,10.0,17.0,6.0,4.0,3.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,19,32,1,2.0,,1.0,6.0,,,3.0,1.0,2.0,1.0,11.0,4.0,1.0,3.0,2.0,,19.0,6.0,2.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7,22,0,1.0,1.0,,6.0,,1.0,,,5.0,,,,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,11,31,0,2.0,2.0,,5.0,,3.0,,,2.0,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,12,42,0,,,,3.0,1.0,,2.0,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,13,46,0,1.0,,1.0,5.0,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,14,28,0,,,,16.0,5.0,,10.0,,1.0,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,18,26,0,1.0,,,8.0,,,7.0,,1.0,2.0,12.0,9.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,21,25,0,,,,7.0,,1.0,4.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,22,29,0,,,,9.0,5.0,1.0,1.0,,2.0,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,23,21,1,1.0,,1.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,9,32,1,1.0,1.0,,21.0,1.0,1.0,16.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10,59,1,,,,3.0,,,3.0,,,5.0,,,1.0,,,,7.0,5.0,1.0,4.0,1999-10-07 20:00:00,6473.0,225.0,Verified,291 Low,291.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
107,12,25,1,1.0,,1.0,3.0,,,,1.0,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,12,52,0,4.0,1.0,1.0,24.0,6.0,5.0,3.0,1.0,8.0,16.0,7.0,17.0,1.0,1.0,2.0,,10.0,6.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,13,26,0,1.0,,,4.0,,2.0,,1.0,,11.0,,20.0,1.0,,3.0,,,14.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,18,56,0,,,,19.0,4.0,2.0,10.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,21,28,0,7.0,1.0,4.0,44.0,9.0,6.0,16.0,4.0,9.0,,,,,,,,14.0,6.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5,31,0,1.0,,,9.0,1.0,,7.0,,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6,29,0,1.0,,1.0,3.0,,1.0,,1.0,1.0,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,8,35,1,1.0,,,5.0,3.0,,1.0,,1.0,,,,,,,,9.0,3.0,,3.0,1999-10-07 20:00:00,6474.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
115,9,23,0,1.0,,,2.0,1.0,,,,1.0,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,9,34,0,1.0,,1.0,11.0,2.0,,7.0,1.0,1.0,,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,10,22,1,2.0,1.0,1.0,5.0,,1.0,,1.0,3.0,,,,,,,4.0,,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,11,26,0,3.0,2.0,,12.0,2.0,4.0,1.0,,4.0,,,,,,,,,5.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,12,43,0,6.0,1.0,3.0,45.0,5.0,5.0,26.0,3.0,5.0,10.0,13.0,10.0,5.0,6.0,4.0,,2.0,7.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,12,33,0,,,,3.0,,1.0,2.0,,,2.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,14,62,0,5.0,1.0,2.0,17.0,1.0,6.0,,3.0,6.0,,,,,,,1.0,2.0,4.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,14,51,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,14,23,0,,,,1.0,,,1.0,,,3.0,,1.0,1.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,16,37,0,2.0,1.0,1.0,10.0,,4.0,4.0,1.0,1.0,,,,,,,,,8.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,16,35,0,1.0,,,3.0,,,1.0,,2.0,,,,,,,,4.0,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,17,25,0,1.0,,1.0,4.0,,,,1.0,3.0,,,2.0,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,18,26,1,1.0,,1.0,14.0,,,10.0,2.0,2.0,,,,,,,,1.0,58.0,7.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,21,41,0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,1.0,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,21,42,0,12.0,2.0,6.0,63.0,16.0,11.0,5.0,6.0,25.0,,,,,,,3.0,49.0,111.0,37.0,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,21,43,0,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,22,24,0,1.0,1.0,,11.0,4.0,1.0,5.0,,1.0,5.0,,,4.0,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,8,22,1,1.0,1.0,,9.0,2.0,2.0,2.0,,3.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,11,26,0,2.0,,,5.0,2.0,,1.0,,2.0,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,14,29,0,1.0,1.0,,13.0,5.0,3.0,2.0,,3.0,,,,,,,,5.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,15,28,0,2.0,,2.0,14.0,2.0,1.0,3.0,3.0,5.0,,,1.0,,,1.0,,,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,15,73,0,,,,,,,,,,58.0,4.0,13.0,4.0,2.0,3.0,4.0,,9.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,18,38,0,1.0,,1.0,2.0,,,,1.0,1.0,,2.0,3.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,18,26,0,1.0,,,5.0,,,5.0,,,,,,,,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,18,24,0,1.0,,,11.0,5.0,1.0,3.0,,2.0,7.0,4.0,1.0,1.0,2.0,1.0,,5.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6,27,0,1.0,,,4.0,,1.0,1.0,,1.0,,4.0,1.0,,1.0,1.0,,,9.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,9,30,0,3.0,,3.0,5.0,,2.0,,3.0,,,,,,,,3.0,,15.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,11,27,0,1.0,,1.0,1.0,,,,1.0,,7.0,3.0,3.0,2.0,2.0,3.0,,,,1.0,1.0,2003-01-17 19:00:00,5278.0,0.0,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
148,13,30,0,1.0,,1.0,4.0,1.0,,,1.0,2.0,,,1.0,,,1.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
