"key1";"v171";"v172";"v173";"v174";"v175";"v176";"v177";"v178";"v179";"v180";"v181";"v182";"v183";"v184";"v185";"v186";"v187";"v188";"v189";"v190";"v191";"v192";"v193";"v194";"v195";"v196";"v197";"v198";"v199";"v200";"v201";"v202";"v203";"v204";"v171";"v172"
40;NA;NA;1999-10-07 20:00:00;6466;2017-06-21 11:16:12;0;2017-06-21 11:16:10;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
56;NA;NA;1995-08-13 07:00:00;7983;2016-10-04 16:07:09;259;2017-05-24 17:22:11;"Verified";"235 Low";235;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
79;NA;NA;1999-10-07 20:00:00;6466;2013-07-31 07:00:00;1421;2014-07-15 15:23:12;"Verified";"102 Low";102;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"Y"
69;NA;NA;2003-01-17 19:00:00;5268;2013-03-21 09:43:00;1552;2017-03-13 08:47:27;"Verified";"098 Very Low";98;2;14;3;"Lower Fraud Risk";1;"Fraud Score 1 to 100";NA;NA;NA;105;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,13;"Y"
84;NA;NA;1996-06-22 08:00:00;7668;2017-06-21 11:35:50;0;2017-06-21 11:35:50;"ValidDomain";"500 Moderate";500;4;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
263;NA;NA;2000-04-03 20:00:00;6287;2016-11-08 07:00:00;225;2017-02-09 17:28:44;"Verified";"291 Low";291;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
88;NA;NA;1998-04-28 20:00:00;6993;2017-06-21 11:35:53;0;2017-06-21 11:35:53;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
78;NA;NA;2003-01-17 19:00:00;5268;2016-11-08 07:00:00;225;2017-05-27 10:36:15;"ValidDomain";"291 Low";291;4;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
116;NA;NA;1996-06-22 08:00:00;7668;2016-08-19 07:17:06;305;2017-06-08 12:38:50;"ValidDomain";"277 Low";277;4;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
94;NA;NA;1999-09-13 07:00:00;6491;2017-06-21 11:41:20;0;2017-06-21 11:41:18;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
83;NA;NA;1995-08-13 07:00:00;7983;2017-05-25 07:34:13;26;2017-05-25 07:34:13;"Verified";"500 Moderate";500;2;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
147;NA;NA;1997-04-05 07:00:00;7383;2016-10-20 12:25:30;244;2017-06-22 06:26:44;"Verified";"287 Low";287;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;6;2;2;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,31;"N"
81;NA;NA;1999-05-25 08:00:00;6601;2017-03-01 06:49:42;112;2017-06-05 06:11:42;"Verified";"469 Moderate";469;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,27;"U"
72;NA;NA;1995-08-13 07:00:00;7983;2013-04-30 07:00:00;1513;2017-01-23 13:00:43;"Verified";"098 Very Low";98;2;14;3;"Lower Fraud Risk";1;"Fraud Score 1 to 100";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
108;NA;NA;1999-09-13 07:00:00;6491;2016-10-23 23:47:14;240;2017-03-31 06:44:35;"Verified";"288 Low";288;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
71;NA;NA;1995-08-13 07:00:00;7983;2017-06-21 11:46:08;0;2017-06-21 11:46:06;"Verified";"500 Moderate";500;2;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
311;NA;NA;1995-08-13 07:00:00;7984;2012-03-01 07:00:00;1939;2017-06-22 14:56:32;"Verified";"093 Very Low";93;2;14;3;"Lower Fraud Risk";1;"Fraud Score 1 to 100";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
4236;NA;NA;1999-10-07 20:00:00;6480;2017-02-23 03:21:43;131;2017-02-23 03:21:44;"Verified";"464 Moderate";464;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;2;2;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
101;NA;NA;2003-03-25 12:00:00;5201;2017-06-21 11:47:43;0;2017-06-21 11:47:43;"ValidDomain";"500 Moderate";500;4;29;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"business";0,1;"U"
80;NA;NA;1995-08-13 07:00:00;7983;2017-04-28 07:00:00;54;2017-06-21 11:49:39;"Verified";"500 Moderate";500;2;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
107;NA;NA;1999-12-22 19:00:00;6390;2016-11-18 09:48:06;214;2016-11-18 09:48:06;"Verified";"293 Low";293;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
89;NA;NA;1999-12-22 19:00:00;6390;2017-06-01 07:37:52;19;2017-06-17 09:30:22;"Verified";"494 Moderate";494;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;2;2;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
109;NA;NA;1995-08-13 07:00:00;7983;2016-09-09 11:31:21;284;2017-05-06 11:56:19;"Verified";"230 Low";230;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
104;NA;NA;1999-05-25 08:00:00;6601;2017-06-21 11:55:01;0;2017-06-21 11:55:01;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
85;NA;NA;1998-04-28 20:00:00;6993;2016-09-12 11:42:10;281;2017-02-07 13:38:12;"Verified";"281 Low";281;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
87;NA;NA;NA;NA;2017-06-21 11:57:29;0;2017-06-21 11:57:29;"ValidDomain";"500 Moderate";500;4;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
113;NA;NA;1999-08-27 13:00:00;6507;2017-06-21 12:06:32;0;2017-06-21 12:06:30;"ValidDomain";"500 Moderate";500;4;29;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
117;NA;NA;NA;NA;2017-06-21 12:06:34;0;2017-06-21 12:06:33;"ValidDomain";"500 Moderate";500;4;29;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
136;NA;NA;2001-01-01 19:00:00;6014;2017-04-22 13:59:27;59;2017-06-13 13:46:35;"Verified";"259 Low";259;2;12;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Low";4;510;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
146;NA;NA;1999-05-25 08:00:00;6601;2017-06-21 12:06:38;0;2017-06-21 12:06:38;"Verified";"500 Moderate";500;2;8;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"cellular";0,1;"U"
154;NA;NA;2003-01-17 19:00:00;5268;2015-12-04 07:00:00;565;2015-12-04 11:50:32;"ValidDomain";"231 Low";231;4;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Not Sure";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
172;NA;NA;1995-08-13 07:00:00;7983;2016-09-15 09:08:51;278;2017-02-13 12:06:49;"Verified";"231 Low";231;2;14;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
144;NA;NA;2007-06-09 23:41:22;3664;2017-06-21 12:10:47;0;2017-06-21 12:10:47;"Verified";"275 Low";275;2;12;3;"Lower Fraud Risk";2;"Fraud Score 101 to 300";NA;NA;NA;NA;1;1;"Yes";"Yes";"Low";4;510;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
142;NA;NA;1998-04-28 20:00:00;6993;2017-06-21 12:10:50;0;2017-06-21 12:10:50;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
4041;NA;NA;1998-04-28 20:00:00;7006;2017-07-04 12:05:33;0;2017-07-04 12:05:33;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,1;"U"
4238;NA;NA;2003-01-17 19:00:00;5282;2017-07-05 06:33:18;0;2017-07-05 06:33:18;"Verified";"500 Moderate";500;2;28;4;"Moderate Fraud Risk";3;"Fraud Score 301 to 600";NA;NA;NA;NA;1;1;"Yes";"Yes";"Moderate";3;508;3;"Moderate";311;"Moderate By Proxy Reputation And Country Code";"Good";"No";"residential";0,27;"U"
