,v001,v002,response,v4,v5,v14,v24,v25,v28,v29,v33,v34,v37,v120,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v172.1
106,10,59,1,,,,,6800,,3.0,,3.0,,5.0,4.0,1999-10-07 20:00:00,6473.0,2016-11-14 07:00:00,225.0,2017-02-09 17:34:12,verified,291 low,291.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
114,8,35,1,13554.67,1.0,12646.95,,8184.63,13554.67,5.0,,1.0,1.0,3.0,3.0,1999-10-07 20:00:00,6474.0,2017-06-29 15:42:41,0.0,2017-06-29 15:42:41,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
147,11,27,0,800,1.0,800,,,,1.0,,,,,1.0,2003-01-17 19:00:00,5278.0,2017-07-01 10:03:10,0.0,2017-07-01 10:03:08,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
160,11,75,0,3333.33,1.0,3333.33,,,,1.0,,,,,,1998-04-28 20:00:00,7007.0,2017-07-05 09:23:00,0.0,2017-07-05 09:23:00,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
186,8,64,0,3300,2.0,3313.7,7300,37750,9450,33.0,3.0,24.0,3.0,1.0,,2003-01-17 19:00:00,5281.0,2017-07-04 12:46:08,0.0,2017-07-04 12:46:07,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
194,14,31,1,1779.2,2.0,1878.2,2457.52,,,5.0,4.0,,,4.0,3.0,1998-04-28 20:00:00,7007.0,2017-06-29 14:24:52,5.0,2017-06-29 14:24:52,verified,498 moderate,498.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
195,15,36,1,700,2.0,710,400,,,2.0,1.0,,,3.0,2.0,1998-04-28 20:00:00,7007.0,2017-05-24 02:57:00,41.0,2017-05-24 02:57:00,verified,488 moderate,488.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,business,u
196,15,37,1,5274.65,2.0,5605.81,,7317.62,3186.62,10.0,,5.0,4.0,2.0,8.0,1998-04-28 20:00:00,7006.0,2017-03-29 15:11:34,96.0,2017-03-29 15:11:34,verified,474 moderate,474.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
197,16,23,0,,,,770,5200,800,15.0,5.0,6.0,3.0,12.0,4.0,1995-08-13 07:00:00,7996.0,2017-07-04 15:08:09,0.0,2017-07-04 15:08:08,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
198,22,30,0,1000,1.0,1000,,2500,,4.0,,3.0,,,,1995-08-13 07:00:00,7997.0,2016-06-04 07:00:00,395.0,2016-09-05 15:52:44,verified,211 low,211.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
199,6,28,0,4500,2.0,4422.69,4000,,8650,9.0,2.0,,6.0,2.0,4.0,2003-01-25 07:00:00,5276.0,2017-07-06 04:50:57,0.0,2017-07-06 04:50:57,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
200,9,32,1,3637.32,2.0,3698.35,1274.64,1800.8,3000,6.0,3.0,2.0,1.0,22.0,13.0,1998-04-28 20:00:00,7007.0,2012-10-07 20:46:00,1731.0,2017-05-04 19:44:36,verified,096 very low,96.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,y
201,9,20,0,800,1.0,799.99,,,,1.0,,,,,,1996-06-22 08:00:00,7683.0,2017-07-06 07:50:41,0.0,2017-07-06 07:50:39,validdomain,500 moderate,500.0,4.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
202,10,28,0,3000,2.0,3165.52,6317.61,43019.32,8564.03,64.0,5.0,45.0,8.0,5.0,3.0,1998-04-28 20:00:00,7007.0,2017-07-05 08:56:06,0.0,2017-07-05 08:56:05,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
207,19,29,0,300,1.0,300,300,,2300,4.0,1.0,,3.0,3.0,3.0,1998-04-28 20:00:00,7007.0,2017-07-05 17:19:22,0.0,2017-07-05 17:19:22,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
208,19,20,0,800,1.0,800,,,,1.0,,,,,,1998-04-28 20:00:00,7007.0,2017-07-05 17:50:34,0.0,2017-07-05 15:24:45,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
210,7,40,0,1500,1.0,1500,6000,3500,9000,8.0,2.0,2.0,2.0,1.0,,1999-10-07 20:00:00,6481.0,2017-07-06 09:29:43,0.0,2017-07-06 09:29:43,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
211,10,21,0,,,,,,650,2.0,,,2.0,1.0,1.0,1995-08-13 07:00:00,7998.0,2017-07-06 08:31:56,0.0,2017-07-06 08:31:55,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
212,11,62,0,,,,,1600,500,5.0,,1.0,1.0,,,1995-08-13 07:00:00,7998.0,2017-07-06 09:48:17,0.0,2017-07-06 09:48:15,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
214,13,71,0,127.46,1.0,128.24,,4250,127.46,6.0,,4.0,1.0,2.0,6.0,1998-04-28 20:00:00,7008.0,2016-11-07 08:12:22,240.0,2016-11-07 08:12:22,verified,288 low,288.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
215,14,33,0,100,1.0,100.8,,3400,,6.0,,2.0,,,,2000-04-03 20:00:00,6302.0,2017-07-06 12:56:31,0.0,2017-07-06 12:56:31,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
218,18,21,0,2000,1.0,1556.1,,,2000,10.0,,,1.0,2.0,2.0,1998-04-28 20:00:00,7008.0,2017-07-06 17:00:20,0.0,2017-07-06 17:00:19,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
219,19,28,0,1400,1.0,1400,,500,,4.0,,1.0,,2.0,,1996-06-22 08:00:00,7683.0,2017-07-06 17:32:02,0.0,2017-07-06 17:32:01,validdomain,500 moderate,500.0,4.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
221,11,44,0,3000,3.0,2480.71,2887.32,5363.73,889.78,9.0,3.0,3.0,2.0,2.0,3.0,1998-04-28 20:00:00,7010.0,2017-07-08 05:47:12,0.0,2017-07-08 05:47:12,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
222,14,23,0,1650,1.0,1425.5,,16637,2650,26.0,,20.0,2.0,,2.0,1999-12-22 19:00:00,6406.0,2017-07-07 12:19:25,0.0,2017-07-07 12:19:25,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
223,16,26,1,1500,1.0,1932.67,1500,700,,2.0,1.0,1.0,,6.0,1.0,1995-08-13 07:00:00,7999.0,2017-03-31 14:09:13,97.0,2017-03-31 14:09:13,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
225,17,30,0,606,1.0,641.94,599,5500,2300,11.0,1.0,5.0,4.0,2.0,2.0,,,2017-07-07 15:47:04,0.0,2017-07-07 15:47:04,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,y
226,18,22,1,1700,1.0,1880,,9300,,9.0,,8.0,,1.0,,1999-12-22 19:00:00,6409.0,2017-07-07 11:18:53,2.0,2017-07-07 11:18:53,verified,499 moderate,499.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
228,9,69,0,250,1.0,250,250,,400,3.0,1.0,,1.0,2.0,1.0,1998-04-28 20:00:00,7010.0,2017-07-08 07:44:35,0.0,2017-07-08 07:44:34,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,,u
229,10,55,1,3000,1.0,3022,,,,2.0,,,,,,1996-06-22 08:00:00,7685.0,2017-07-08 10:00:59,0.0,2017-07-08 10:00:59,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
230,10,23,0,,,,2600,4901,1336,22.0,2.0,12.0,6.0,1.0,5.0,1996-06-22 08:00:00,7685.0,2017-07-08 09:08:06,0.0,2017-07-08 09:08:05,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
231,11,57,0,4700,3.0,4735.6,7250,,2900,7.0,3.0,,2.0,,,1995-08-13 07:00:00,8000.0,2017-07-08 09:15:16,0.0,2017-07-08 09:15:15,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
234,8,23,1,,,,,2100,4000,10.0,,3.0,2.0,10.0,3.0,1998-04-28 20:00:00,7012.0,2017-05-27 12:01:29,43.0,2017-05-27 12:01:30,verified,488 moderate,488.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,2.0,2.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
236,12,24,0,5423.3,2.0,5452.1,7000,17264.39,,19.0,3.0,14.0,,,,1998-04-28 20:00:00,7012.0,2017-07-10 05:33:36,0.0,2017-07-10 05:33:36,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
237,15,30,1,4000,1.0,3003,,3500,,4.0,,3.0,,4.0,1.0,1998-04-28 20:00:00,7011.0,2017-05-20 13:00:42,49.0,2017-05-20 13:00:43,verified,486 moderate,486.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
238,17,24,0,5645,4.0,6064.78,6402.12,3500,9220,21.0,5.0,4.0,6.0,5.0,2.0,1999-10-07 20:00:00,6485.0,2017-07-10 06:33:41,0.0,2017-07-10 06:33:40,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
240,22,29,0,1000,1.0,317,,9056,,11.0,,10.0,,,,1995-08-13 07:00:00,8002.0,2017-07-10 14:16:27,0.0,2017-07-10 14:16:26,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
241,22,24,0,750,2.0,425.8,1300,8100,300,18.0,3.0,13.0,1.0,2.0,,1999-12-22 19:00:00,6409.0,2017-07-10 06:13:56,0.0,2017-07-10 06:13:55,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
242,22,31,0,10627.54,5.0,11120.47,15519.66,,3122.53,14.0,7.0,,2.0,11.0,5.0,,,2016-11-21 07:00:00,230.0,2017-02-09 17:43:27,validdomain,290 low,290.0,4.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
243,2,20,0,1000,1.0,1000,1000,,,2.0,1.0,,,1.0,,1995-08-13 07:00:00,8002.0,2016-11-24 07:00:00,227.0,2017-02-09 17:43:15,verified,240 low,240.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
244,2,21,0,1000,1.0,1007.4,1000,750,,4.0,1.0,2.0,,3.0,1.0,1996-06-22 08:00:00,7687.0,2016-11-23 07:00:00,228.0,2017-02-09 17:43:29,validdomain,290 low,290.0,4.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
245,9,23,1,800,1.0,800,,,,1.0,,,,,,1999-05-25 08:00:00,6620.0,2017-07-10 07:48:40,0.0,2017-07-10 07:48:40,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
246,10,32,0,,,,2000,1600,2500,5.0,1.0,1.0,1.0,1.0,2.0,1999-12-22 19:00:00,6409.0,2017-07-10 13:36:07,0.0,2017-07-10 13:36:07,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
247,10,33,0,,,,1500,,5000,3.0,1.0,,2.0,2.0,4.0,1995-08-13 07:00:00,8002.0,2017-07-10 08:26:16,0.0,2017-07-10 08:26:16,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
248,10,42,0,5200,2.0,5253.99,5430,48181.32,5765,39.0,3.0,28.0,4.0,4.0,5.0,1999-12-22 19:00:00,6409.0,2017-07-10 13:35:59,0.0,2017-07-10 13:35:58,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
249,11,27,1,3297.25,2.0,3109.15,2398,16100,1139.05,16.0,2.0,10.0,1.0,2.0,2.0,1996-06-22 08:00:00,7687.0,2017-07-10 09:16:53,0.0,2017-07-10 09:16:53,validdomain,500 moderate,500.0,4.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,not sure,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
250,12,28,0,800,1.0,400,2500,,4300,4.0,1.0,,3.0,2.0,5.0,1995-08-13 07:00:00,8002.0,2017-07-10 10:25:56,0.0,2017-07-10 10:25:56,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
251,12,24,0,2000,2.0,2004.5,2228.76,650,2078.76,13.0,2.0,2.0,3.0,2.0,4.0,,,2013-03-08 07:00:00,1585.0,2017-07-10 10:57:04,verified,097 very low,97.0,2.0,14.0,3.0,lower fraud risk,1.0,fraud score 1 to 100,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
252,13,36,0,300,1.0,302.5,300,15900,800,19.0,1.0,16.0,1.0,,1.0,1998-04-28 20:00:00,7012.0,2017-07-10 12:08:29,0.0,2017-07-10 12:08:29,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
253,15,48,0,2000,2.0,2000,1500,,,3.0,2.0,,,1.0,,1995-08-13 07:00:00,8002.0,2017-07-10 13:35:44,0.0,2017-07-10 13:35:44,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
254,16,20,1,800,1.0,809.3,800,,,1.0,1.0,,,3.0,,1998-04-28 20:00:00,7012.0,2017-05-10 12:08:48,60.0,2017-05-10 12:08:48,verified,483 moderate,483.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
255,17,56,0,1500,2.0,1501.5,1400,67659.85,500,56.0,2.0,48.0,1.0,1.0,,1998-04-28 20:00:00,7012.0,2017-07-10 15:18:02,0.0,2017-07-10 15:18:01,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
256,17,33,0,,,,400,3100,,3.0,1.0,2.0,,2.0,,1995-08-13 07:00:00,8002.0,2015-06-01 07:00:00,770.0,2017-07-10 15:49:44,verified,147 low,147.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
257,20,24,0,2500,1.0,2518,2600,1100,1300,7.0,2.0,2.0,1.0,1.0,,1995-08-13 07:00:00,8002.0,2017-07-10 19:03:28,0.0,2017-07-10 19:03:28,verified,500 moderate,500.0,2.0,8.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
258,23,42,0,8294.15,2.0,10142.7,6994.15,4550,3128.22,14.0,1.0,5.0,2.0,3.0,6.0,1999-12-22 19:00:00,6410.0,2017-05-17 13:56:31,54.0,2017-05-17 13:56:31,verified,485 moderate,485.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
259,7,22,1,1000,1.0,1004.1,1000,,300,2.0,1.0,,1.0,9.0,1.0,1999-05-25 08:00:00,6621.0,2017-05-23 10:26:01,48.0,2017-05-23 10:26:02,verified,487 moderate,487.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
260,10,22,0,1600,1.0,1612.3,1828.22,7500,,12.0,3.0,8.0,,2.0,,1999-12-22 19:00:00,6410.0,2017-07-11 08:27:40,0.0,2017-07-11 08:27:39,verified,500 moderate,500.0,2.0,28.0,4.0,moderate fraud risk,3.0,fraud score 301 to 600,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,residential,u
261,10,29,0,1000,1.0,1000,,,1000,3.0,,,1.0,,4.0,1998-04-28 20:00:00,7013.0,2016-11-10 07:00:00,242.0,2017-02-09 17:31:41,verified,288 low,288.0,2.0,14.0,3.0,lower fraud risk,2.0,fraud score 101 to 300,1.0,1.0,yes,yes,moderate,3.0,508.0,3.0,moderate,311.0,moderate by proxy reputation and country code,good,no,cellular,u
