,v001,v002,response,v4,v5,v9,v12,v14,v23,v24,v25,v27,v28,v29,v32,v33,v34,v36,v37,v105,v106,v109,v112,v113,v116,v117,v119,v120,v122,v123,v173,v174,v175,v176,v177,v178,v179,v180,v181,v182,v183,v184,v185,v186,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v204,v171.1,v172.1
36,9,26,0,1000,1.0,1.0,,1000,500,1000,11300,,,11.0,1.0,1.0,9.0,,,2.0,5.0,4.0,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,9,21,1,175,1.0,,1.0,"302,83",300,,,175,,2.0,1.0,,,1.0,,,,,,,,,4.0,3.0,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,9,34,0,,,,,,,,,,,,,,,,,3.0,3.0,7.0,1.0,2.0,2.0,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,10,68,0,1000,1.0,,1.0,1000,8700,,3300,1000,2500,10.0,5.0,,3.0,1.0,1.0,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,10,21,1,,,,,,,1400,,,400,3.0,,2.0,,,1.0,,,,,,,,,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,11,40,0,"6410,98",2.0,,,"6430,98","13719,5","6410,98",600,"3205,49","16027,45",15.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,12,55,0,"8868,44",2.0,,,"8829,68",4800,2500,10150,,"6368,44",10.0,1.0,1.0,6.0,,1.0,4.0,2.0,1.0,2.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,12,62,0,1000,1.0,,1.0,"1008,2",,,,1000,,1.0,,,,1.0,,,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,12,36,0,1000,1.0,,1.0,"1003,8",,2500,1000,1000,3050,8.0,,2.0,1.0,1.0,4.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,14,36,0,,,,,,,,2750,,,3.0,,,3.0,,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,14,21,1,"3692,29",2.0,2.0,,"3754,25",,"5201,31",,,1000,4.0,,3.0,,,1.0,2.0,,4.0,1.0,,1.0,1.0,,9.0,17.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,14,23,0,"1982,2",2.0,,1.0,"1987,5",,,2750,1100,,7.0,,,4.0,2.0,,2.0,,,2.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,14,41,1,,,,,,,,,,1600,1.0,,,,,1.0,1.0,,14.0,1.0,,2.0,,,1.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,14,22,1,1100,1.0,,,"1135,8",300,,,,1600,3.0,1.0,,,,2.0,,,,,,,4.0,9.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,15,41,0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,15,22,1,300,1.0,,1.0,"372,36",,1000,3609,300,,10.0,,4.0,5.0,1.0,,,,1.0,,,1.0,,13.0,13.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,16,35,0,4600,2.0,1.0,1.0,"4909,7",10250,5700,3400,2500,9050,21.0,5.0,5.0,5.0,1.0,5.0,,1.0,1.0,,1.0,1.0,,3.0,5.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,16,20,0,"5172,04",1.0,,,"5735,7",4600,,,,"7172,04",7.0,5.0,,,,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,16,59,0,1500,1.0,,1.0,1500,,,,1500,1000,2.0,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,17,25,0,1400,2.0,1.0,1.0,"1401,62",,1100,,900,,3.0,,2.0,,1.0,,,3.0,4.0,,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,17,30,0,5000,1.0,,1.0,5041,13300,7100,"41665,65",5000,20250,38.0,3.0,1.0,28.0,1.0,5.0,7.0,8.0,14.0,5.0,4.0,3.0,1.0,7.0,6.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,18,46,1,,,,,,,,,,,,,,,,,12.0,7.0,12.0,1.0,1.0,1.0,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,18,62,1,3100,2.0,1.0,,"3153,42",,500,800,,2600,3.0,,1.0,1.0,,1.0,1.0,3.0,9.0,1.0,1.0,1.0,,,9.0,2.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,19,27,0,,,,,,1837,1000,,,600,3.0,1.0,1.0,,,1.0,6.0,10.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,19,35,0,1000,1.0,,,"0,98","4846,6",,"9979,54",,"7548,61",13.0,3.0,,7.0,,3.0,,2.0,,,2.0,,2.0,18.0,5.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,23,34,0,1000,1.0,1.0,,1000,1500,"2371,22",1600,,,6.0,1.0,4.0,1.0,,,,,,,,,,3.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,24,0,,,,,,300,,1400,,,3.0,1.0,,2.0,,,2.0,1.0,5.0,2.0,1.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6,37,0,7250,4.0,1.0,3.0,"7604,3",,4050,,6500,,7.0,,4.0,,3.0,,,,,,,,,,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8,31,0,2500,2.0,,,"2920,58",1200,,8450,,6600,14.0,2.0,,8.0,,4.0,2.0,5.0,5.0,1.0,1.0,1.0,,2.0,2.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,9,34,0,"2228,22",2.0,1.0,1.0,"2242,02",,3100,,"128,22",1000,4.0,,2.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,9,30,0,,,,,,,,,,,,,,,,,14.0,6.0,17.0,3.0,4.0,9.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,10,56,0,"3456,54",1.0,1.0,,"3384,52",,"3456,54",37743,,"764,79",23.0,,1.0,20.0,,2.0,6.0,,2.0,2.0,,1.0,,10.0,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,12,41,0,,,,,,,,1600,,,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,12,27,0,3800,2.0,1.0,,"3820,5",1200,3800,,,1800,5.0,1.0,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,14,48,0,,,,,,,,1200,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15,36,0,500,1.0,,,500,1300,,5100,,,6.0,2.0,,4.0,,,,2.0,,,1.0,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,16,29,0,,,,,,,300,,,500,2.0,,1.0,,,1.0,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,19,30,0,900,2.0,,2.0,"968,8",1650,400,3250,900,1500,27.0,6.0,1.0,14.0,2.0,4.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,11,27,0,"10344,24",2.0,,1.0,"9769,5","9799,24",3500,800,3500,"17344,24",12.0,5.0,1.0,1.0,1.0,4.0,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,13,56,0,5000,1.0,,,"5041,1",10000,7000,50300,,15000,25.0,2.0,1.0,18.0,,3.0,5.0,,5.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,13,23,0,"12262,27",5.0,1.0,3.0,"12790,37",4750,"19520,99",300,"8812,27",9710,24.0,5.0,8.0,1.0,3.0,7.0,,,,,,,,8.0,14.0,4.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,18,39,0,,,,,,600,300,41870,200,3200,36.0,1.0,1.0,28.0,1.0,5.0,,,3.0,,,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,21,31,1,500,1.0,,,"527,7",500,,1000,,,2.0,1.0,,1.0,,,12.0,6.0,8.0,2.0,2.0,1.0,5.0,2.0,2.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,23,20,0,350,1.0,,,350,300,1400,,1000,950,9.0,1.0,3.0,,2.0,3.0,,,,,,,,8.0,8.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,7,25,0,1000,1.0,,,"1225,5","1899,5",,16700,,4275,22.0,4.0,,14.0,,4.0,,,,,,,,4.0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,10,25,0,"2517,16",2.0,,1.0,"2557,36",,,4950,300,100,9.0,,,6.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,15,50,0,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,18,26,0,,,,,,1200,,,,,1.0,1.0,,,,,1.0,,2.0,1.0,,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,19,46,1,"2039,2",1.0,,1.0,"2039,2",,"3252,6",,"2039,2","1751,4",4.0,,2.0,,1.0,1.0,12.0,8.0,10.0,2.0,1.0,3.0,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,11,38,0,3400,2.0,1.0,1.0,"3618,67",,5900,,2500,2500,5.0,,3.0,,1.0,1.0,,,2.0,,,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,11,29,1,600,1.0,1.0,,"721,39",,600,,,,1.0,,1.0,,,,40.0,10.0,17.0,6.0,4.0,3.0,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,19,32,1,"4996,22",2.0,,1.0,"5360,17",,,7000,"996,22",4500,6.0,,,3.0,1.0,2.0,1.0,11.0,4.0,1.0,3.0,2.0,,19.0,6.0,2.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,7,22,0,1200,1.0,1.0,,1210,,1200,,,1422,6.0,,1.0,,,5.0,,,,,,,,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,11,31,0,3600,2.0,2.0,,3600,,4450,,,2500,5.0,,3.0,,,2.0,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,12,42,0,,,,,,1500,,3000,,,3.0,1.0,,2.0,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,13,46,0,1000,1.0,,1.0,1000,1500,1000,,1000,3000,5.0,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,14,28,0,,,,,,6450,,14750,,100,16.0,5.0,,10.0,,1.0,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,18,26,0,1000,1.0,,,500,,,3450,,1000,8.0,,,7.0,,1.0,2.0,12.0,9.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,21,25,0,,,,,,,3500,4800,,4800,7.0,,1.0,4.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,22,29,0,,,,,,3350,500,1600,,1000,9.0,5.0,1.0,1.0,,2.0,,,,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,23,21,1,800,1.0,,1.0,"806,6",,800,,800,400,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,9,32,1,4950,1.0,1.0,,"5005,4",400,4950,30200,,13650,21.0,1.0,1.0,16.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,10,59,1,,,,,,,,6800,,,3.0,,,3.0,,,5.0,,,1.0,,,,7.0,5.0,1.0,4.0,1999-10-07 20:00:00,6473.0,2016-11-14 07:00:00,225.0,2017-02-09 17:34:12,Verified,291 Low,291.0,2.0,14.0,3.0,Lower Fraud Risk,2.0,Fraud Score 101 to 300,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,residential,"0,1",U
107,12,25,1,1800,1.0,,1.0,"1814,1",,,,1800,1100,3.0,,,,1.0,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,12,52,0,"7645,08",4.0,1.0,1.0,"6635,9","11162,6","8075,45",2065,"1282,2","13270,18",24.0,6.0,5.0,3.0,1.0,8.0,16.0,7.0,17.0,1.0,1.0,2.0,,10.0,6.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,13,26,0,500,1.0,,,572,,350,,200,,4.0,,2.0,,1.0,,11.0,,20.0,1.0,,3.0,,,14.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,18,56,0,,,,,,6950,9300,23600,,8800,19.0,4.0,2.0,10.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,21,28,0,"9577,09",7.0,1.0,4.0,"10402,98","11354,56","8229,51","15845,28","4852,98","7422,87",44.0,9.0,6.0,16.0,4.0,9.0,,,,,,,,14.0,6.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5,31,0,2000,1.0,,,2000,2000,,21700,,2000,9.0,1.0,,7.0,,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6,29,0,1000,1.0,,1.0,1000,,1000,,1000,1500,3.0,,1.0,,1.0,1.0,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,8,35,1,"13554,67",1.0,,,"12646,95","6199,69",,"8184,63",,"13554,67",5.0,3.0,,1.0,,1.0,,,,,,,,9.0,3.0,,3.0,1999-10-07 20:00:00,6474.0,2017-06-29 15:42:41,0.0,2017-06-29 15:42:41,Verified,500 Moderate,500.0,2.0,28.0,4.0,Moderate Fraud Risk,3.0,Fraud Score 301 to 600,1.0,1.0,Yes,Yes,Moderate,3.0,508.0,3.0,Moderate,311.0,Moderate By Proxy Reputation And Country Code,Good,No,cellular,"0,1",U
115,9,23,0,700,1.0,,,350,800,,,,700,2.0,1.0,,,,1.0,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
